title,game_name,game_alias,game_image_url,game_web_link,review_score,profile_dev,profile_platforms,release_world,main_story,main_extra,completionist,all_styles,
"phantasy star online 2","Phantasy Star Online 2","","https://howlongtobeat.com/games/Phantasy-Star-Online-2.jpg","https://howlongtobeat.com/game/96512","80","Sega","['Mobile', 'Nintendo Switch', 'PC', 'PlayStation 4', 'PlayStation Vita', 'Xbox One']","2020","380.0","1409.99","1500.0","1095.71",
"baldurs gate","Baldur's Gate: Enhanced Edition","","https://howlongtobeat.com/games/220px-Baldurs_Gate_Enhanced_Edition.png","https://howlongtobeat.com/game/814","81","Overhaul Games","['Mobile', 'Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2012","30.16","52.19","91.28","51.41",
"anna","Anna's Quest","","https://howlongtobeat.com/games/Annas_Quest_header.jpg","https://howlongtobeat.com/game/484","74","Daedalic Entertainment","['Linux', 'Mac', 'PC', 'PlayStation 4', 'Xbox One']","2015","9.65","10.65","11.17","10.52",
"sly cooper","Sly Cooper and the Thievius Raccoonus","","https://howlongtobeat.com/games/Sly_Cooper_and_the_Thievius_Raccoonus_Coverart.png","https://howlongtobeat.com/game/8650","76","Sucker Punch Productions","['PlayStation 2', 'PlayStation 3', 'PlayStation Vita']","2002","6.84","7.33","8.28","7.41",
"north and south",,,,,,,,,,,,,
"legend of dragoon","The Legend of Dragoon","","https://howlongtobeat.com/games/256px-Legend_of_Dragoon.jpg","https://howlongtobeat.com/game/10005","82","SCEI","['PlayStation', 'PlayStation 4', 'PlayStation 5']","1999","48.11","57.55","66.89","56.37",
"bucky, o'hare",,,,,,,,,,,,,
"fez","Fez","","https://howlongtobeat.com/games/250px-Fez_cover.png","https://howlongtobeat.com/game/3435","80","Polytron","['Mac', 'Mobile', 'Nintendo Switch', 'PC', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'Xbox 360']","2012","5.97","8.26","11.74","8.56",
"zone of enders","Zone of the Enders: The 2nd Runner MARS","Anubis: Zone of the Enders MARS","https://howlongtobeat.com/games/57582_Zone_of_the_Enders_The_2nd_Runner_MARS.jpg","https://howlongtobeat.com/game/57582","75","Konami Digital Entertainment, Cygames","['PC', 'PlayStation 4', 'PlayStation VR']","2018","5.95","7.02","12.07","6.83",
"binding of isaac","The Binding of Isaac: Rebirth","","https://howlongtobeat.com/games/TheBindingofIsaacRebirth.jpg","https://howlongtobeat.com/game/9782","85","Nicalis, Edmund McMillen","['Mobile', 'Nintendo 3DS', 'Nintendo Switch', 'PC', 'PlayStation 4', 'PlayStation Vita', 'Wii U', 'Xbox One']","2014","5.27","84.72","279.68","102.79",
